ENSP00000243786,P05111,INHA_HUMAN
ENSP00000244051,O95396,MOCS3_HUMAN
ENSP00000245451,P12644,BMP4_HUMAN
ENSP00000245796,Q8NDX1,PSD4_HUMAN
ENSP00000246024,Q9H1E5,TMX4_HUMAN
ENSP00000246186,Q9Y5R2,MMP24_HUMAN
ENSP00000246747,P36404,ARL2_HUMAN
ENSP00000246792,P10301,RRAS_HUMAN
ENSP00000247005,P27539,GDF1_HUMAN
ENSP00000248706,Q9BPW5,RSLBB_HUMAN
ENSP00000249016,Q99705,MCHR1_HUMAN
ENSP00000249396,Q8IXJ6,SIR2_HUMAN
ENSP00000249750,O94788,AL1A2_HUMAN
ENSP00000251102,Q14028,CNGB1_HUMAN
ENSP00000251287,Q9UL51,HCN2_HUMAN
ENSP00000251412,Q9NRH3,TBG2_HUMAN
ENSP00000251413,P23258,TBG1_HUMAN
ENSP00000252011,Q9H5Z1,DHX35_HUMAN
ENSP00000252321,P22460,KCNA5_HUMAN
ENSP00000252677,O95972,BMP15_HUMAN
ENSP00000252711,O95299,NDUAA_HUMAN
ENSP00000252809,Q99988,GDF15_HUMAN
ENSP00000252826,Q8TD43,TRPM4_HUMAN
ENSP00000252835,Q8NG94,O11H1_HUMAN
ENSP00000253055,Q02779,M3K10_HUMAN
ENSP00000253122,P48029,SC6A8_HUMAN
ENSP00000253577,O75027,ABCB7_HUMAN
ENSP00000254488,P48066,S6A11_HUMAN
ENSP00000254521,P56937,DHB7_HUMAN
ENSP00000254654,Q9H0C8,ILKAP_HUMAN
ENSP00000254722,P36955,PEDF_HUMAN
ENSP00000254846,O15054,KDM6B_HUMAN
ENSP00000255266,P16499,PDE6A_HUMAN
ENSP00000255465,P78396,CCNA1_HUMAN
ENSP00000256103,P02689,MYP2_HUMAN
ENSP00000256412,O15204,ADEC1_HUMAN
ENSP00000256443,P50613,CDK7_HUMAN
ENSP00000256447,Q99467,CD180_HUMAN
ENSP00000256458,O43187,IRAK2_HUMAN
ENSP00000256460,Q14012,KCC1A_HUMAN
ENSP00000256496,Q9NVJ2,ARL8B_HUMAN
ENSP00000256906,Q9H3N8,HRH4_HUMAN
ENSP00000257068,P49286,MTR1B_HUMAN
ENSP00000257290,P16234,PGFRA_HUMAN
ENSP00000257527,Q9H013,ADA19_HUMAN
ENSP00000257548,Q70CQ3,UBP30_HUMAN
ENSP00000257895,Q92781,RDH5_HUMAN
ENSP00000257904,P11802,CDK4_HUMAN
ENSP00000257981,Q9ULD8,KCNH3_HUMAN
ENSP00000258399,Q86T82,UBP37_HUMAN
ENSP00000258494,Q3SY69,AL1L2_HUMAN
ENSP00000258499,Q9H0E7,UBP44_HUMAN
ENSP00000259470,O60911,CATL2_HUMAN
ENSP00000259711,Q9H1H9,KI13A_HUMAN
ENSP00000259727,P36959,GMPR1_HUMAN
ENSP00000259782,Q9UJW2,TINAG_HUMAN
ENSP00000259808,Q13546,RIPK1_HUMAN
ENSP00000260010,O60603,TLR2_HUMAN
ENSP00000260227,P09237,MMP7_HUMAN
ENSP00000260228,O60882,MMP20_HUMAN
ENSP00000260229,Q9H306,MMP27_HUMAN
ENSP00000260302,P45452,MMP13_HUMAN
ENSP00000260408,O14672,ADA10_HUMAN
ENSP00000260682,P11712,CP2C9_HUMAN
ENSP00000260746,P36405,ARL3_HUMAN
ENSP00000261180,Q9UKU6,TRHDE_HUMAN
ENSP00000261233,Q9Y616,IRAK3_HUMAN
ENSP00000261402,O60285,NUAK1_HUMAN
ENSP00000261497,Q9UPT9,UBP22_HUMAN
ENSP00000261601,P54578,UBP14_HUMAN
ENSP00000261636,P40616,ARL1_HUMAN
ENSP00000261799,P09619,PGFRB_HUMAN
ENSP00000261845,Q16659,MK06_HUMAN
ENSP00000261879,Q8WW43,APH1B_HUMAN
ENSP00000261917,Q9Y3Q4,HCN4_HUMAN
ENSP00000261937,P35916,VGFR3_HUMAN
ENSP00000261994,Q9UK55,ZPI_HUMAN
ENSP00000262053,P18846,ATF1_HUMAN
ENSP00000262065,Q15546,PAQRB_HUMAN
ENSP00000262158,O15105,SMAD7_HUMAN
ENSP00000262186,Q12809,KCNH2_HUMAN
ENSP00000262187,Q15382,RHEB_HUMAN
ENSP00000262519,O15047,SET1A_HUMAN
ENSP00000262643,P24864,CCNE1_HUMAN
ENSP00000262752,Q9UK32,KS6A6_HUMAN
ENSP00000262916,P56696,KCNQ4_HUMAN
ENSP00000262948,P36507,MP2K2_HUMAN
ENSP00000262960,Q86TI2,DPP9_HUMAN
ENSP00000263056,P41279,M3K8_HUMAN
ENSP00000263125,Q04759,KPCT_HUMAN
ENSP00000263181,Q8NI77,KI18A_HUMAN
ENSP00000263269,O15399,NMDE4_HUMAN
ENSP00000263694,Q96DI7,SNR40_HUMAN
ENSP00000263798,Q06418,TYRO3_HUMAN
ENSP00000263800,P29376,LTK_HUMAN
ENSP00000263923,P35968,VGFR2_HUMAN
ENSP00000263934,O60333,KIF1B_HUMAN
ENSP00000263966,Q92995,UBP13_HUMAN
ENSP00000263980,P19634,SL9A1_HUMAN
ENSP00000264071,P04350,TBB4A_HUMAN
ENSP00000264079,Q9GZU1,MCLN1_HUMAN
ENSP00000264159,Q5FWF4,ZRAB3_HUMAN
ENSP00000264346,Q8IVU3,HERC6_HUMAN
ENSP00000264377,O75077,ADA23_HUMAN
ENSP00000264431,Q9Y4G8,RPGF2_HUMAN
ENSP00000264661,Q9UQ05,KCNH4_HUMAN
ENSP00000264917,O95263,PDE8B_HUMAN
ENSP00000264938,P48764,SL9A3_HUMAN
ENSP00000265080,O14827,RGRF2_HUMAN
ENSP00000265148,Q02224,CENPE_HUMAN
ENSP00000265334,Q8IVW4,CDKL3_HUMAN
ENSP00000265372,Q03060,CREM_HUMAN
ENSP00000265707,Q9Y3Q7,ADA18_HUMAN
ENSP00000265708,Q99965,ADAM2_HUMAN
ENSP00000265727,Q9P0K1,ADA22_HUMAN
ENSP00000265969,P48547,KCNC1_HUMAN
ENSP00000265983,P02790,HEMO_HUMAN
ENSP00000265990,O14981,BTAF1_HUMAN
ENSP00000266397,Q96DN0,ERP27_HUMAN
ENSP00000266646,P58166,INHBE_HUMAN
ENSP00000266682,Q9H2J7,S6A15_HUMAN
ENSP00000267082,P26010,ITB7_HUMAN
ENSP00000267101,P21860,ERBB3_HUMAN
ENSP00000267205,Q9HBH0,RHOF_HUMAN
ENSP00000267396,Q8IYK8,REM2_HUMAN
ENSP00000268919,Q8N4N8,KIF2B_HUMAN
ENSP00000269489,A0A0A0MQW3,A0A0A0MQW3_HUMAN
ENSP00000269571,P04626,ERBB2_HUMAN
ENSP00000269586,A6NH57,ARL5C_HUMAN
ENSP00000270112,P57058,HUNK_HUMAN
ENSP00000270225,Q9UBE0,SAE1_HUMAN
ENSP00000270349,Q01959,SC6A3_HUMAN
ENSP00000270357,Q9HAU8,RNPL1_HUMAN
ENSP00000271064,Q9GZM7,TINAL_HUMAN
ENSP00000271555,Q14814,MEF2D_HUMAN
ENSP00000271640,Q15047,SETB1_HUMAN
ENSP00000271889,Q8TEY5,CR3L4_HUMAN
ENSP00000272134,O75610,LFTY1_HUMAN
ENSP00000272224,Q7Z4P5,GDF7_HUMAN
ENSP00000272519,P11234,RALB_HUMAN
ENSP00000273173,Q9Y267,S22AE_HUMAN
ENSP00000273814,P52824,DGKQ_HUMAN
ENSP00000274024,P12104,FABPI_HUMAN
ENSP00000274026,P20248,CCNA2_HUMAN
ENSP00000274063,Q96HF1,SFRP2_HUMAN
ENSP00000274710,Q9BQI7,PSD2_HUMAN
ENSP00000275200,Q969N4,TAAR8_HUMAN
ENSP00000275300,O75751,S22A3_HUMAN
ENSP00000275815,P21709,EPHA1_HUMAN
ENSP00000276052,Q00536,CDK16_HUMAN
ENSP00000277120,Q16620,NTRK2_HUMAN
ENSP00000277942,Q9GZQ6,NPFF1_HUMAN
ENSP00000278407,P05155,IC1_HUMAN
ENSP00000279178,Q8IVM8,S22A9_HUMAN
ENSP00000280684,P17658,KCNA6_HUMAN
ENSP00000280701,Q9NWU1,OXSM_HUMAN
ENSP00000281419,O43150,ASAP2_HUMAN
ENSP00000281701,O15381,NVL_HUMAN
ENSP00000281806,Q969V1,MCHR2_HUMAN
ENSP00000282020,O43424,GRID2_HUMAN
ENSP00000282026,Q969Q4,ARL11_HUMAN
ENSP00000282096,Q13370,PDE3B_HUMAN
ENSP00000282397,P17948,VGFR1_HUMAN
ENSP00000282412,O75688,PPM1B_HUMAN
ENSP00000282499,P48058,GRIA4_HUMAN
ENSP00000282753,Q13255,GRM1_HUMAN
ENSP00000283147,P22004,BMP6_HUMAN
ENSP00000285199,Q70EL4,UBP43_HUMAN
ENSP00000285667,P48723,HSP13_HUMAN
ENSP00000285979,P33260,CP2CI_HUMAN
ENSP00000286201,O75084,FZD7_HUMAN
ENSP00000286301,P07333,CSF1R_HUMAN
ENSP00000286614,P51512,MMP16_HUMAN
ENSP00000286628,Q12791,KCMA1_HUMAN
ENSP00000287020,Q6KF10,GDF6_HUMAN
ENSP00000287042,Q9ULS6,KCNS2_HUMAN
ENSP00000287878,Q9UGJ0,AAKG2_HUMAN
ENSP00000287934,Q9UP38,FZD1_HUMAN
ENSP00000288135,P10721,KIT_HUMAN
ENSP00000289104,O14807,RASM_HUMAN
ENSP00000289228,P42025,ACTY_HUMAN
ENSP00000290277,P10398,ARAF_HUMAN
ENSP00000290354,O75828,CBR3_HUMAN
ENSP00000290573,P52789,HXK2_HUMAN
ENSP00000291442,P10588,NR2F6_HUMAN
ENSP00000291592,Q9BY71,LRRC3_HUMAN
ENSP00000291823,Q8NE63,HIPK4_HUMAN
ENSP00000291906,Q6P5Z2,PKN3_HUMAN
ENSP00000292408,P22455,FGFR4_HUMAN
ENSP00000292432,P52790,HXK3_HUMAN
ENSP00000293190,Q14957,NMDE3_HUMAN
ENSP00000293217,Q15067,ACOX1_HUMAN
ENSP00000293255,Q9NP86,CABP5_HUMAN
ENSP00000293350,Q8IZ83,A16A1_HUMAN
ENSP00000293502,Q8NEX9,DR9C7_HUMAN
ENSP00000294288,Q9NPB3,CABP2_HUMAN
ENSP00000294383,Q9UPU5,UBP24_HUMAN
ENSP00000294435,Q96R05,RET7_HUMAN
ENSP00000294635,A6NM62,LRC53_HUMAN
ENSP00000295082,Q9H3M0,KCNF1_HUMAN
ENSP00000295108,Q13562,NDF1_HUMAN
ENSP00000295113,Q92765,SFRP3_HUMAN
ENSP00000295190,Q7RTX9,MOT14_HUMAN
ENSP00000295228,P09529,INHBB_HUMAN
ENSP00000295269,Q6AI14,SL9A4_HUMAN
ENSP00000295408,Q12866,MERTK_HUMAN
ENSP00000295640,Q9H4A4,AMPB_HUMAN
ENSP00000295757,Q96DB2,HDA11_HUMAN
ENSP00000295777,Q99574,NEUS_HUMAN
ENSP00000295834,P07148,FABPL_HUMAN
ENSP00000296456,P13798,ACPH_HUMAN
ENSP00000296464,O95757,HS74L_HUMAN
ENSP00000296474,Q04912,RON_HUMAN
ENSP00000296526,P42262,GRIA2_HUMAN
ENSP00000296754,Q9NZ08,ERAP1_HUMAN
ENSP00000296795,O15455,TLR3_HUMAN
ENSP00000296859,Q8TEU7,RPGF6_HUMAN
ENSP00000297012,Q96QV6,H2A1A_HUMAN
ENSP00000297142,Q96NK8,NDF6_HUMAN
ENSP00000297293,Q8IWU2,LMTK2_HUMAN
ENSP00000297512,Q9UHC3,ASIC3_HUMAN
ENSP00000297596,P55040,GEM_HUMAN
ENSP00000298032,Q5W041,ARMC3_HUMAN
ENSP00000298316,P62330,ARF6_HUMAN
ENSP00000298386,Q8WXD0,RXFP2_HUMAN
ENSP00000298875,Q9P2I0,CPSF2_HUMAN
ENSP00000299529,P29762,RABP1_HUMAN
ENSP00000299608,Q96JJ7,TMX3_HUMAN
ENSP00000299798,Q14940,SL9A5_HUMAN
ENSP00000299855,P08254,MMP3_HUMAN
ENSP00000300060,P15144,AMPN_HUMAN
ENSP00000300061,P51170,SCNNG_HUMAN
ENSP00000300093,P53350,PLK1_HUMAN
ENSP00000301068,Q8TAI7,REBL1_HUMAN
ENSP00000301141,P11509,CP2A6_HUMAN
ENSP00000301146,P20853,CP2A7_HUMAN
ENSP00000301178,P30530,UFO_HUMAN
ENSP00000301218,Q16478,GRIK5_HUMAN
ENSP00000301962,Q9H9J4,UBP42_HUMAN
ENSP00000302051,O95672,ECEL1_HUMAN
ENSP00000302216,Q92858,ATOH1_HUMAN
ENSP00000302486,Q02750,MP2K1_HUMAN
ENSP00000302811,P48039,MTR1A_HUMAN
ENSP00000302895,Q8WZ64,ARAP2_HUMAN
ENSP00000302961,P34932,HSP74_HUMAN
ENSP00000303192,Q9NZL6,RGL1_HUMAN
"ENSP00000303373,ENSP00000483842",P04908,H2A1B_HUMAN
ENSP00000303434,Q8NB14,UBP38_HUMAN
ENSP00000303580,Q9NYR9,KBRS2_HUMAN
ENSP00000303706,P30304,MPIP1_HUMAN
ENSP00000303775,Q8TCW9,PKR1_HUMAN
ENSP00000304127,Q8TAE7,KCNG3_HUMAN
ENSP00000304226,Q9H422,HIPK3_HUMAN
ENSP00000304643,Q8TD86,CALL6_HUMAN
ENSP00000305302,Q695T7,S6A19_HUMAN
ENSP00000305465,Q8N807,PDILT_HUMAN
ENSP00000306010,P18085,ARF4_HUMAN
ENSP00000306138,P41594,GRM5_HUMAN
ENSP00000306340,J3KNE8,J3KNE8_HUMAN
ENSP00000306410,Q5T2S8,ODAD2_HUMAN
ENSP00000306627,Q4G0N8,SL9C1_HUMAN
ENSP00000306754,Q15784,NDF2_HUMAN
ENSP00000306894,P41161,ETV5_HUMAN
ENSP00000307078,P33176,KINH_HUMAN
ENSP00000307208,Q12830,BPTF_HUMAN
ENSP00000307342,O60741,HCN1_HUMAN
ENSP00000307697,Q99424,ACOX2_HUMAN
ENSP00000307822,Q9Y5X5,NPFF2_HUMAN
ENSP00000308032,Q96SQ9,CP2S1_HUMAN
ENSP00000308413,Q9UBS0,KS6B2_HUMAN
ENSP00000308461,Q92730,RND1_HUMAN
ENSP00000308496,Q8N8L6,ARL10_HUMAN
ENSP00000308576,O00212,RHOD_HUMAN
ENSP00000308716,P55103,INHBC_HUMAN
ENSP00000308926,Q5JR12,PPM1J_HUMAN
ENSP00000309198,Q15386,UBE3C_HUMAN
ENSP00000309262,Q86UV5,UBP48_HUMAN
ENSP00000309597,Q16584,M3K11_HUMAN
ENSP00000309751,Q7RTY0,MOT13_HUMAN
ENSP00000310094,Q9UL54,TAOK2_HUMAN
ENSP00000310149,Q8TAV3,CP2W1_HUMAN
ENSP00000310241,Q9Y226,S22AD_HUMAN
ENSP00000310244,O95267,GRP1_HUMAN
ENSP00000310490,Q8NCK7,MOT11_HUMAN
ENSP00000310649,Q8TDC3,BRSK1_HUMAN
ENSP00000310661,Q9NP56,PDE7B_HUMAN
ENSP00000310832,Q9UBX1,CATF_HUMAN
ENSP00000311005,Q13164,MK07_HUMAN
ENSP00000311010,Q9UKW6,ELF5_HUMAN
ENSP00000311135,Q8IY37,DHX37_HUMAN
ENSP00000311280,Q99607,ELF4_HUMAN
ENSP00000311713,O95747,OXSR1_HUMAN
ENSP00000312082,Q9NR97,TLR8_HUMAN
ENSP00000312129,Q8TDN1,KCNG4_HUMAN
ENSP00000312411,Q8WY54,PPM1E_HUMAN
ENSP00000312987,P41235,HNF4A_HUMAN
ENSP00000313811,Q9Y2K6,UBP20_HUMAN
ENSP00000314396,Q6P2P2,ANM9_HUMAN
ENSP00000315654,Q9UJ96,KCNG2_HUMAN
ENSP00000315743,Q16589,CCNG2_HUMAN
ENSP00000316329,Q86SK9,SCD5_HUMAN
ENSP00000316357,Q93008,USP9X_HUMAN
ENSP00000316518,Q8NGT5,OR9A2_HUMAN
ENSP00000316605,Q9NQW8,CNGB3_HUMAN
ENSP00000316674,Q8TC94,ACTL9_HUMAN
ENSP00000316729,Q9H4E5,RHOJ_HUMAN
ENSP00000316786,P80365,DHI2_HUMAN
ENSP00000316948,Q9HAZ1,CLK4_HUMAN
ENSP00000317272,P08581,MET_HUMAN
ENSP00000317310,Q9NZU7,CABP1_HUMAN
ENSP00000317333,Q9H2A3,NGN2_HUMAN
ENSP00000317580,Q92886,NGN1_HUMAN
ENSP00000317997,Q9NRD9,DUOX1_HUMAN
ENSP00000318697,Q9BUF5,TBB6_HUMAN
ENSP00000318799,Q8NFJ8,BHE22_HUMAN
ENSP00000318997,Q8NGC9,O11H4_HUMAN
ENSP00000319071,Q8NGC7,O11H6_HUMAN
ENSP00000319991,O15403,MOT7_HUMAN
ENSP00000320295,Q13509,TBB3_HUMAN
ENSP00000320324,P55786,PSA_HUMAN
ENSP00000320821,O43896,KIF1C_HUMAN
ENSP00000321656,P30307,MPIP3_HUMAN
ENSP00000321735,O95907,MOT3_HUMAN
ENSP00000321804,Q8N4S7,PAQR4_HUMAN
ENSP00000321853,P08697,A2AP_HUMAN
ENSP00000321971,Q8IXI1,MIRO2_HUMAN
ENSP00000322304,Q9H237,PORCN_HUMAN
ENSP00000322628,P49703,ARL4D_HUMAN
ENSP00000322788,P03956,MMP1_HUMAN
ENSP00000323313,Q14554,PDIA5_HUMAN
ENSP00000323847,Q8N4G2,ARL14_HUMAN
ENSP00000323867,P54619,AAKG1_HUMAN
ENSP00000323901,Q14332,FZD2_HUMAN
ENSP00000323926,Q7Z2W7,TRPM8_HUMAN
ENSP00000324127,Q9NYI0,PSD3_HUMAN
ENSP00000324806,P49841,GSK3B_HUMAN
ENSP00000324856,Q15831,STK11_HUMAN
ENSP00000324960,P57796,CABP4_HUMAN
ENSP00000326219,Q9BTZ2,DHRS4_HUMAN
ENSP00000327255,P35813,PPM1A_HUMAN
ENSP00000327440,Q7Z5Y6,BMP8A_HUMAN
ENSP00000327687,E7ENK3,E7ENK3_HUMAN
ENSP00000327801,P07237,PDIA1_HUMAN
ENSP00000328484,Q99878,H2A1J_HUMAN
ENSP00000328511,P22459,KCNA4_HUMAN
ENSP00000328625,Q86YC3,LRC33_HUMAN
ENSP00000328813,Q96L42,KCNH8_HUMAN
ENSP00000329647,Q5JWF8,ACL10_HUMAN
ENSP00000330148,Q9ULK0,GRID1_HUMAN
ENSP00000330199,Q9H1V8,S6A17_HUMAN
ENSP00000331040,Q13516,OLIG2_HUMAN
ENSP00000331602,Q05655,KPCD_HUMAN
ENSP00000331727,Q9NS40,KCNH7_HUMAN
ENSP00000331745,Q9NR23,GDF3_HUMAN
ENSP00000332549,Q12879,NMDE1_HUMAN
ENSP00000332679,Q16696,CP2AD_HUMAN
ENSP00000333203,P05154,IPSP_HUMAN
ENSP00000333212,Q7Z449,CP2U1_HUMAN
ENSP00000333262,Q15735,PI5PA_HUMAN
ENSP00000333275,P13056,NR2C1_HUMAN
ENSP00000333300,Q7Z5P4,DHB13_HUMAN
ENSP00000333329,Q6R6M4,U17L2_HUMAN
ENSP00000333376,Q70EL2,UBP45_HUMAN
ENSP00000333534,P24903,CP2F1_HUMAN
ENSP00000333547,Q15907,RB11B_HUMAN
ENSP00000334300,Q9Y615,ACL7A_HUMAN
ENSP00000334592,Q6VVX0,CP2R1_HUMAN
ENSP00000334801,Q6PKH6,DR4L2_HUMAN
ENSP00000335024,Q86U17,SPA11_HUMAN
ENSP00000335153,P07900,HS90A_HUMAN
ENSP00000336655,Q7RTN6,STRAA_HUMAN
ENSP00000336740,P53667,LIMK1_HUMAN
ENSP00000337103,P28329,CLAT_HUMAN
ENSP00000337133,Q86WD7,SPA9_HUMAN
ENSP00000337335,Q8TCC7,S22A8_HUMAN
ENSP00000338330,Q6TCH4,PAQR6_HUMAN
ENSP00000338627,Q9GZN6,S6A16_HUMAN
ENSP00000338671,O94844,RHBT1_HUMAN
ENSP00000338769,Q8TDY4,ASAP3_HUMAN
ENSP00000338864,Q7LDG7,GRP2_HUMAN
ENSP00000339136,Q7Z444,RASE_HUMAN
ENSP00000339208,Q6V1X1,DPP8_HUMAN
ENSP00000339260,Q9NSD5,S6A13_HUMAN
ENSP00000339467,P84095,RHOG_HUMAN
ENSP00000339754,P56559,ARL4C_HUMAN
ENSP00000339916,P53671,LIMK2_HUMAN
ENSP00000340361,Q13705,AVR2B_HUMAN
ENSP00000341564,Q6ZVX9,PAQR9_HUMAN
ENSP00000341843,Q9Y603,ETV7_HUMAN
ENSP00000342109,Q8IW75,SPA12_HUMAN
ENSP00000342136,O43889,CREB3_HUMAN
ENSP00000342235,Q15303,ERBB4_HUMAN
ENSP00000342560,Q9Y5N1,HRH3_HUMAN
ENSP00000342812,O00507,USP9Y_HUMAN
ENSP00000342850,P08185,CBG_HUMAN
ENSP00000343200,P84550,SKOR1_HUMAN
ENSP00000343526,O94782,UBP1_HUMAN
ENSP00000343656,A8MQ07,A8MQ07_HUMAN
ENSP00000343674,Q6HA08,ASTL_HUMAN
ENSP00000344220,O15530,PDPK1_HUMAN
ENSP00000344223,Q14703,MBTP1_HUMAN
ENSP00000344242,Q8N6Y2,LRC17_HUMAN
ENSP00000344635,P51959,CCNG1_HUMAN
ENSP00000344674,Q13268,DHRS2_HUMAN
ENSP00000345055,Q9NR82,KCNQ5_HUMAN
ENSP00000345083,P46734,MP2K3_HUMAN
ENSP00000345344,P07711,CATL1_HUMAN
ENSP00000345751,P51168,SCNNB_HUMAN
ENSP00000346175,Q96T68,SETB2_HUMAN
ENSP00000346206,Q03518,TAP1_HUMAN
ENSP00000346298,Q9NP91,S6A20_HUMAN
"ENSP00000346509,ENSP00000482564",P0C5Z0,H2AB2_HUMAN
ENSP00000346643,Q2TB90,HKDC1_HUMAN
ENSP00000346733,Q96P50,ACAP3_HUMAN
ENSP00000346827,P49189,AL9A1_HUMAN
ENSP00000347046,O76074,PDE5A_HUMAN
ENSP00000347409,P23276,KELL_HUMAN
ENSP00000347427,Q8N4C8,MINK1_HUMAN
ENSP00000347792,O15056,SYNJ2_HUMAN
ENSP00000348278,Q9UEW8,STK39_HUMAN
ENSP00000348308,O75900,MMP23_HUMAN
ENSP00000348565,Q9GZZ9,UBA5_HUMAN
ENSP00000348912,Q9BZ11,ADA33_HUMAN
ENSP00000348931,O15540,FABP7_HUMAN
ENSP00000349436,Q13444,ADA15_HUMAN
ENSP00000349616,Q86V24,PAQR2_HUMAN
ENSP00000349877,Q9HD20,AT131_HUMAN
ENSP00000349930,Q8NGC1,O11G2_HUMAN
ENSP00000350267,Q9ULD4,BRPF3_HUMAN
ENSP00000350541,Q6Q4G3,AMPQ_HUMAN
ENSP00000350676,Q9UPP1,PHF8_HUMAN
ENSP00000350681,P28324,ELK4_HUMAN
ENSP00000350786,Q96FT7,ASIC4_HUMAN
ENSP00000350896,P54760,EPHB4_HUMAN
ENSP00000351035,Q8NBQ5,DHB11_HUMAN
ENSP00000351209,P29317,EPHA2_HUMAN
"ENSP00000351589,ENSP00000352627,ENSP00000482431,ENSP00000352119,ENSP00000482538",P0C0S8,H2A1_HUMAN
ENSP00000351905,P37173,TGFR2_HUMAN
ENSP00000351947,Q9H4L7,SMRCD_HUMAN
ENSP00000351990,Q13564,ULA1_HUMAN
ENSP00000352035,O43526,KCNQ2_HUMAN
ENSP00000352069,O00308,WWP2_HUMAN
ENSP00000352185,O75151,PHF2_HUMAN
